Date,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,TurnoverRate,MA10,MA50,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,Momentum,ATR
2021-04-16,6.68,6.8,6.85,6.65,20847,14109852.0,2.99,1.8,0.12,1.03,6.677,6.5228,6.735387799909748,6.742649111752937,-0.007261311843189233,0.026557319962858053,-0.033818631806047286,29.801324503311236,0.008902077151335286,0.20857142857142877
2021-04-19,6.77,7.48,7.48,6.77,136108,100336917.0,10.44,10.0,0.68,6.7,6.763,6.5592,6.849943523000555,6.797267696067534,0.05267582693302142,0.031781021356890725,0.020894805576130694,53.55450236966826,0.12990936555891253,0.2235714285714288
2021-04-20,8.23,8.23,8.23,8.23,34389,28301736.0,0.0,10.03,0.75,1.69,6.912000000000001,6.6098,7.0622599040773935,6.903396014877346,0.15886388920004713,0.05719759492552201,0.10166629427452512,77.36625514403293,0.22106824925816015,0.24214285714285738
2021-04-21,8.3,7.77,8.82,7.6,306340,248594347.0,14.82,-5.59,-0.46,15.07,7.01,6.6488,7.171142995757794,6.96758890266421,0.20355409309358397,0.08646889455913441,0.11708519853444956,64.93055555555554,0.14432989690721643,0.310714285714286
2021-04-22,7.68,7.45,8.07,7.45,189500,145198324.0,7.98,-4.12,-0.32,9.32,7.089,6.6836,7.214044073333518,7.003323058022417,0.2107210153111012,0.11131931870952778,0.09940169660157343,61.71617161716172,0.11861861861861867,0.3350000000000003
2021-04-23,8.2,8.2,8.2,7.9,173658,142071264.0,4.03,10.07,0.75,8.54,7.241,6.7364,7.365729600512977,7.091965794465201,0.27376380604777584,0.1438082161771774,0.12995558987059844,71.5846994535519,0.22754491017964074,0.3785714285714287
2021-04-26,7.38,7.38,7.76,7.38,244003,183505302.0,4.63,-10.0,-0.82,12.0,7.322,6.772200000000001,7.367925046587904,7.113301661541853,0.25462338504605064,0.16597124995095205,0.08865213509509859,57.33944954128441,0.12328767123287654,0.42357142857142865
2021-04-27,7.11,6.97,7.23,6.72,155041,107934125.0,6.91,-5.56,-0.41,7.63,7.364,6.7992,7.306705808651303,7.102686723649864,0.2040190850014394,0.17358081696104952,0.030438268040389876,51.906779661016955,0.06412213740458017,0.4607142857142858
2021-04-28,7.17,7.67,7.67,7.05,125347,93707255.0,8.9,10.04,0.7,6.17,7.462999999999999,6.8372,7.362597222704949,7.144709929305429,0.21788729339951995,0.18244211224874363,0.03544518115077633,59.54631379962193,0.14820359281437123,0.5000000000000001
2021-04-29,7.84,7.75,8.1,7.37,250357,194479144.0,9.52,1.04,0.08,12.32,7.57,6.8762,7.42219764998111,7.18954623083836,0.23265141914275045,0.192483973627545,0.04016744551520546,60.0,0.16017964071856294,0.5442857142857143
2021-04-30,7.83,7.49,7.88,7.3,131841,98985305.0,7.48,-3.35,-0.26,6.49,7.639,6.905400000000001,7.432628780753247,7.211802065591074,0.22082671516217278,0.19815252193447055,0.022674193227702227,58.36363636363637,0.1014705882352942,0.5757142857142857
2021-05-06,7.4,7.59,7.86,7.27,157352,119437323.0,7.88,1.34,0.1,7.74,7.65,6.9304,7.45683973756044,7.239816727399143,0.21702301016129688,0.20192661957983582,0.015096390581461061,59.31899641577061,0.014705882352941124,0.6135714285714285
